rn1qkb1r/pp2nppp/2p1p3/3pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R b KQkq - 2 7 ; Caro-Kann Advance ; games=56 ; white_score=0.6161
rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP2QPPP/RNB1K2R b KQkq - 1 6 ; Queen's Gambit Accepted ; games=54 ; white_score=0.4259
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/4PN1P/PP3PP1/RNBQ1RK1 b kq - 1 7 ; Queen's Gambit Accepted ; games=50 ; white_score=0.5500
rnbqkb1r/5ppp/p3pn2/1pp5/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 b kq - 1 8 ; Queen's Gambit Accepted ; games=48 ; white_score=0.6354
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 2 8 ; Queen's Gambit Declined ; games=53 ; white_score=0.4434
rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 9 ; Queen's Gambit Declined ; games=51 ; white_score=0.6373
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQR1K1 b - - 6 7 ; Queen's Indian Defence ; games=60 ; white_score=0.4167
rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP4/PP3NP1/4PPBP/RNBQ1RK1 b - - 0 8 ; Queen's Indian Defence ; games=59 ; white_score=0.4915
rn1qk2r/pbppbppp/1p2pn2/8/2PP1B2/5NP1/PP2PPBP/RN1QK2R b KQkq - 4 6 ; Queen's Indian Defence ; games=56 ; white_score=0.6339
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/P4NP1/1P2PPBP/RNBQ1RK1 b - - 2 7 ; Queen's Indian Defence ; games=45 ; white_score=0.5000
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 4 6 ; Queen's Indian Defence ; games=41 ; white_score=0.5122
rn1qk2r/pbp1bppp/1p1ppn2/8/2PP1B2/5NP1/PP2PPBP/RN1Q1RK1 b kq - 1 7 ; Queen's Indian Defence ; games=41 ; white_score=0.5000
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq - 0 5 ; Reti Opening ; games=69 ; white_score=0.5000
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQ1RK1 b - - 1 7 ; Reti Opening ; games=62 ; white_score=0.5161
rnbqk2r/pp2bppp/4pn2/8/2Pp4/5NP1/PPQP1PBP/RNB1K2R w KQkq - 0 8 ; Reti Opening ; games=60 ; white_score=0.5250
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq - 0 5 ; Reti Opening ; games=57 ; white_score=0.6579
rnbq1rk1/pp2bppp/4pn2/2ppN3/2P5/3P2P1/PP2PPBP/RNBQ1RK1 b - - 0 7 ; Reti Opening ; games=54 ; white_score=0.4352
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/P4NP1/1P1PPPBP/RNBQK2R b KQkq - 0 5 ; Reti Opening ; games=53 ; white_score=0.5283
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/N4NP1/PP1PPPBP/R1BQK2R w KQ - 5 6 ; Reti Opening ; games=52 ; white_score=0.4423
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQK2R w KQ - 0 7 ; Reti Opening ; games=51 ; white_score=0.5392
rnbqk2r/ppp1bppp/4pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQ1RK1 b kq - 1 6 ; Reti Opening ; games=51 ; white_score=0.4804
r1bqk2r/pp2bppp/2n1pn2/2p5/2Pp4/1P1P1NP1/P3PPBP/RNBQ1RK1 w kq - 1 8 ; Reti Opening ; games=51 ; white_score=0.4314
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b - - 2 6 ; Reti Opening ; games=50 ; white_score=0.4200
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/P4NP1/1P1PPPBP/RNBQK2R w KQ - 1 6 ; Reti Opening ; games=49 ; white_score=0.4796
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PPQPPPBP/RNB1K2R b KQkq - 4 5 ; Reti Opening ; games=48 ; white_score=0.3958
rnbqk2r/ppp1bppp/4pn2/3pN3/2P5/6P1/PP1PPPBP/RNBQK2R b KQkq - 4 5 ; Reti Opening ; games=47 ; white_score=0.5319
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/N4NP1/PP2PPBP/R1BQK2R b KQ - 0 6 ; Reti Opening ; games=47 ; white_score=0.4681
rnbq1rk1/ppp1bppp/4pn2/3pN3/2P5/6P1/PP1PPPBP/RNBQ1RK1 b - - 6 6 ; Reti Opening ; games=43 ; white_score=0.5000
rnbqk2r/ppp1bppp/4pn2/8/2Pp4/5NP1/PPQPPPBP/RNB1K2R w KQkq - 0 6 ; Reti Opening ; games=42 ; white_score=0.4524
rnbqk2r/ppp1bppp/4pn2/8/2Pp4/4PNP1/PPQP1PBP/RNB1K2R b KQkq - 0 6 ; Reti Opening ; games=34 ; white_score=0.4706
r1bq1rk1/ppp1bppp/2n1pn2/3p4/2P5/1P1P1NP1/P3PPBP/RNBQ1RK1 b - - 0 7 ; Reti Opening ; games=32 ; white_score=0.4688
r2qk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BN2Q1P/PPPP1PP1/R1B1R1K1 b kq - 0 10 ; Ruy Lopez, Closed ; games=60 ; white_score=0.5917
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQR1K1 b - - 0 9 ; Ruy Lopez, Closed ; games=56 ; white_score=0.4464
r2qk2r/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 b kq - 0 9 ; Ruy Lopez, Closed ; games=56 ; white_score=0.4911
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 b - - 0 10 ; Ruy Lopez, Closed ; games=55 ; white_score=0.4000
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPP2PP1/RNBQR1K1 w - - 1 10 ; Ruy Lopez, Closed ; games=54 ; white_score=0.4352
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 b kq - 0 8 ; Ruy Lopez, Closed ; games=53 ; white_score=0.4906
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQR1K1 b - - 0 10 ; Ruy Lopez, Closed ; games=51 ; white_score=0.5882
r2q1rk1/1bp1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 w - - 1 11 ; Ruy Lopez, Closed ; games=51 ; white_score=0.4706
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BN2N2/PPPP1PPP/R1BQR1K1 b kq - 1 8 ; Ruy Lopez, Closed ; games=51 ; white_score=0.5588
r1bqr1k1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPPN1PP1/R1BQR1K1 w - - 3 11 ; Ruy Lopez, Closed ; games=50 ; white_score=0.3900
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N2/PPP2PPP/R1BQR1K1 w - - 3 10 ; Ruy Lopez, Closed ; games=47 ; white_score=0.5000
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPPQPPP/RNB1R1K1 b kq - 1 8 ; Ruy Lopez, Closed ; games=47 ; white_score=0.5106
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N1P/PPPP1PP1/RNBQR1K1 b kq - 0 8 ; Ruy Lopez, Closed ; games=45 ; white_score=0.4778
r1bq1rk1/2p1bppp/p1np1n2/3Np3/Pp2P3/1B3N2/1PPP1PPP/R1BQR1K1 b - - 1 10 ; Ruy Lopez, Closed ; games=44 ; white_score=0.5000
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPPN1PP1/R1BQR1K1 b - - 2 10 ; Ruy Lopez, Closed ; games=44 ; white_score=0.4659
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/PB3N2/1PPP1PPP/RNBQR1K1 b kq - 0 8 ; Ruy Lopez, Closed ; games=44 ; white_score=0.4545
r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N2/PPP2PPP/R1BQR1K1 b kq - 2 9 ; Ruy Lopez, Closed ; games=43 ; white_score=0.5000
r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 w kq - 1 9 ; Ruy Lopez, Closed ; games=42 ; white_score=0.5000
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/P2P1N2/BPP2PPP/RNBQR1K1 b - - 2 10 ; Ruy Lopez, Closed ; games=40 ; white_score=0.6250
r1bqk2r/pppp1ppp/2n2n2/1B6/1b1NP3/2P5/PP3PPP/RNBQK2R b KQkq - 0 6 ; Scotch Game ; games=69 ; white_score=0.5725
r1bq1rk1/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQ1RK1 w - - 3 8 ; Scotch Game ; games=60 ; white_score=0.4000
r1bqk2r/pppp1ppp/2n2n2/8/1b1NP3/3Q4/PPPB1PPP/RN2KB1R b KQkq - 4 6 ; Scotch Game ; games=52 ; white_score=0.4808
r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7 ; Scotch Game ; games=46 ; white_score=0.5109
r1bqk2r/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQ1RK1 b kq - 2 7 ; Scotch Game ; games=45 ; white_score=0.4444
r1bqkb1r/ppp2ppp/2n2n2/3p4/3NP3/5P2/PPP3PP/RNBQKB1R w KQkq - 0 6 ; Scotch Game ; games=45 ; white_score=0.4444
r1bqk2r/pppp1ppp/1bn2n2/8/4P3/1NN2P2/PPP3PP/R1BQKB1R b KQkq - 4 7 ; Scotch Game ; games=34 ; white_score=0.4559
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 b - - 0 8 ; Semi-Slav Defence ; games=58 ; white_score=0.5259
r1bqk2r/pp1n1ppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQK2R b KQkq - 2 7 ; Semi-Slav Defence ; games=56 ; white_score=0.5089
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq - 0 6 ; Semi-Slav Defence ; games=55 ; white_score=0.4364
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PPQ2PPP/R1B1KB1R b KQkq - 2 6 ; Semi-Slav Defence ; games=52 ; white_score=0.5385
r1b1k2r/pp1nqppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQ1RK1 b kq - 4 8 ; Semi-Slav Defence ; games=50 ; white_score=0.4900
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQkq - 2 6 ; Semi-Slav Defence ; games=42 ; white_score=0.5119
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b kq - 4 7 ; Semi-Slav Defence ; games=33 ; white_score=0.7121
rnbqk2r/pp2bppp/3pp3/3nP3/2BP4/5N2/PP3PPP/RNBQK2R w KQkq - 1 8 ; Sicilian Alapin ; games=45 ; white_score=0.4444
r1bqkb1r/1p2pppp/p1np4/8/4P1n1/1NN5/PPPB1PPP/R2QKB1R b KQkq - 3 8 ; Sicilian Classical ; games=60 ; white_score=0.5667
r1bqkb1r/pp2pppp/2np1n2/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq - 4 6 ; Sicilian Classical ; games=57 ; white_score=0.5877
r1bqkb1r/pp2pppp/2np1n2/1B6/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq - 4 6 ; Sicilian Classical ; games=54 ; white_score=0.5463
r2qkb1r/pp1bpppp/2np1n2/1B4B1/3NP3/2N5/PPP2PPP/R2QK2R b KQkq - 6 7 ; Sicilian Classical ; games=51 ; white_score=0.5098
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/1NN2P2/PPP3PP/R1BQKB1R b KQkq - 1 7 ; Sicilian Classical ; games=47 ; white_score=0.4894
r2qkb1r/pp3ppp/2npbn2/3Np3/4P3/1N3P2/PPP3PP/R1BQKB1R b KQkq - 3 8 ; Sicilian Classical ; games=43 ; white_score=0.6047
r1bqkb1r/1p2pppp/p1np1n2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq - 1 7 ; Sicilian Classical ; games=41 ; white_score=0.5732
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N2P2/PPP3PP/R1BQKB1R b KQkq - 0 6 ; Sicilian Classical ; games=35 ; white_score=0.5571
r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR w KQkq - 0 8 ; Sicilian Closed ; games=58 ; white_score=0.5259
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR b KQkq - 1 6 ; Sicilian Closed ; games=58 ; white_score=0.4224
1rbqk1nr/pp2ppbp/2np2p1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQK2R b KQk - 0 7 ; Sicilian Closed ; games=57 ; white_score=0.5614
1rbqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w k - 4 8 ; Sicilian Closed ; games=56 ; white_score=0.4196
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP1NP1/1PP2PBP/R1BQ1RK1 b k - 0 8 ; Sicilian Closed ; games=55 ; white_score=0.4182
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQK2R w KQ - 3 8 ; Sicilian Closed ; games=55 ; white_score=0.4909
r1bqk2r/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP2PB1/R1BQK1NR w KQkq - 1 7 ; Sicilian Closed ; games=55 ; white_score=0.4727
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP1NPB1/R1BQK2R w KQ - 3 9 ; Sicilian Closed ; games=54 ; white_score=0.5000
r1bqk2r/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQK2R b KQkq - 2 7 ; Sicilian Closed ; games=53 ; white_score=0.4528
r1bqk2r/pp2npbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP1NPB1/R1BQK2R b KQkq - 2 8 ; Sicilian Closed ; games=53 ; white_score=0.4434
r1bqk2r/pp2npbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP2PB1/R1BQK1NR w KQkq - 1 8 ; Sicilian Closed ; games=53 ; white_score=0.5755
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR b KQkq - 0 6 ; Sicilian Closed ; games=53 ; white_score=0.4906
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P2P/2NP2P1/PPP2PB1/R1BQK1NR b KQkq - 0 6 ; Sicilian Closed ; games=52 ; white_score=0.5288
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQ1RK1 b k - 2 8 ; Sicilian Closed ; games=52 ; white_score=0.6538
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NP2PP/PPP1NPB1/R1BQK2R b KQkq - 1 7 ; Sicilian Closed ; games=51 ; white_score=0.3824
1rbqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQk - 2 8 ; Sicilian Closed ; games=50 ; white_score=0.4300
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/P1NP2PP/1PP2PB1/R1BQK1NR b KQkq - 0 7 ; Sicilian Closed ; games=50 ; white_score=0.3500
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 b kq - 3 7 ; Sicilian Closed ; games=49 ; white_score=0.5612
1rbqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2QK2R b KQk - 3 8 ; Sicilian Closed ; games=49 ; white_score=0.4694
r1bqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP1NP1/1PP2PBP/R1BQK2R b KQkq - 0 7 ; Sicilian Closed ; games=49 ; white_score=0.5612
r1bqk2r/pp2npbp/2npp1p1/2p5/4P3/2NPB1P1/PPP1NPBP/R2QK2R w KQkq - 2 8 ; Sicilian Closed ; games=48 ; white_score=0.5208
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQK2R w KQkq - 2 7 ; Sicilian Closed ; games=48 ; white_score=0.5938
r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R b KQkq - 1 7 ; Sicilian Closed ; games=47 ; white_score=0.5319
r1bqk2r/1p2ppbp/p1np1np1/2pN4/P3P3/3PB1P1/1PP2PBP/R2QK1NR b KQkq - 1 8 ; Sicilian Closed ; games=46 ; white_score=0.5326
r1bqk2r/pp2npbp/2np2p1/2p1p3/4P3/2NP2PP/PPP1NPB1/R1BQ1RK1 b kq - 3 8 ; Sicilian Closed ; games=46 ; white_score=0.5978
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQK2R b KQkq - 1 6 ; Sicilian Closed ; games=43 ; white_score=0.5465
r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR w KQkq - 0 7 ; Sicilian Closed ; games=42 ; white_score=0.4524
r1bqk1nr/pp2ppbp/2np2p1/2p5/P3P3/2NP2P1/1PP2PBP/R1BQK1NR b KQkq - 0 6 ; Sicilian Closed ; games=42 ; white_score=0.4881
r1bqk2r/1p2ppbp/p1np2p1/2pN4/P3P1n1/3PB1P1/1PP2PBP/R2QK1NR w KQkq - 2 9 ; Sicilian Closed ; games=42 ; white_score=0.5357
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NP2P1/PPP1NPBP/R1BQK2R b KQkq - 1 6 ; Sicilian Closed ; games=41 ; white_score=0.4024
r1bqk1nr/pp3pbp/2npp1p1/2p5/4P3/2NPB1P1/PPP1NPBP/R2QK2R b KQkq - 1 7 ; Sicilian Closed ; games=40 ; white_score=0.5000
r1bqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR b KQkq - 0 7 ; Sicilian Closed ; games=40 ; white_score=0.5375
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQ1RK1 b - - 4 8 ; Sicilian Closed ; games=38 ; white_score=0.4342
r1bqk2r/pp2npbp/2npp1p1/2p5/4P3/2NPB1P1/PPPQNPBP/R3K2R b KQkq - 3 8 ; Sicilian Closed ; games=38 ; white_score=0.4342
rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6 ; Sicilian Dragon ; games=50 ; white_score=0.5200
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq - 3 7 ; Sicilian Dragon ; games=47 ; white_score=0.5000
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N1B2P/PPP2PP1/R2QKB1R b KQkq - 2 7 ; Sicilian Dragon ; games=45 ; white_score=0.5333
rn1qkb1r/pp1bpp1p/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 3 7 ; Sicilian Dragon ; games=44 ; white_score=0.6136
r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R b KQkq - 5 8 ; Sicilian Dragon ; games=43 ; white_score=0.6047
rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N1B2P/PPPQ1PP1/R3KB1R b KQ - 4 8 ; Sicilian Dragon ; games=41 ; white_score=0.5610
rnbqkb1r/pp2pp1p/3p1np1/8/3NP3/2N4P/PPP2PP1/R1BQKB1R b KQkq - 0 6 ; Sicilian Dragon ; games=39 ; white_score=0.5897
rn1qk2r/pp1bppbp/3p1np1/8/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq - 5 8 ; Sicilian Dragon ; games=36 ; white_score=0.6111
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq - 1 7 ; Sicilian Najdorf ; games=56 ; white_score=0.5268
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6 ; Sicilian Najdorf ; games=55 ; white_score=0.4545
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R b KQkq - 3 8 ; Sicilian Najdorf ; games=54 ; white_score=0.5278
rnbqkb1r/1p3ppp/p2ppn2/8/4PP2/1NN5/PPP3PP/R1BQKB1R b KQkq - 0 7 ; Sicilian Najdorf ; games=47 ; white_score=0.5000
rnbqkb1r/1p2pppp/p2p1n2/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq - 1 6 ; Sicilian Najdorf ; games=46 ; white_score=0.4130
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq - 1 7 ; Sicilian Najdorf ; games=45 ; white_score=0.5000
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN1B3/PPPQ1PPP/R3KB1R b KQkq - 3 8 ; Sicilian Najdorf ; games=45 ; white_score=0.5444
rnbqk2r/1p2bppp/p2ppn2/8/4PPP1/1NN5/PPP4P/R1BQKB1R b KQkq - 0 8 ; Sicilian Najdorf ; games=43 ; white_score=0.4884
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6 ; Sicilian Najdorf ; games=36 ; white_score=0.5694
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R b KQkq - 1 8 ; Sicilian Sveshnikov ; games=63 ; white_score=0.5000
r1bqkb1r/1p3ppp/p1np1n2/4p3/P3P3/N1N5/1PP2PPP/R1BQKB1R b KQkq - 1 8 ; Sicilian Sveshnikov ; games=61 ; white_score=0.4426
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R b KQkq - 1 8 ; Sicilian Sveshnikov ; games=58 ; white_score=0.4138
1rbqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQk - 3 9 ; Sicilian Sveshnikov ; games=58 ; white_score=0.5776
r1bqkb1r/pp3ppp/2np4/1N1Pp3/8/8/PPP2PPP/R1BQKB1R b KQkq - 0 8 ; Sicilian Sveshnikov ; games=54 ; white_score=0.5648
r2qkb1r/pp3ppp/2np1n2/4p3/4P1b1/N1N2P2/PPP3PP/R1BQKB1R b KQkq - 0 8 ; Sicilian Sveshnikov ; games=52 ; white_score=0.4519
r2qkb1r/pp3ppp/2npbn2/4p3/2B1P3/N1N2P2/PPP3PP/R1BQK2R b KQkq - 2 9 ; Sicilian Sveshnikov ; games=52 ; white_score=0.4327
r2qkb1r/1p3ppp/p1np1n2/4p3/P3P1b1/N1N5/1PP2PPP/R1BQKB1R w KQkq - 2 9 ; Sicilian Sveshnikov ; games=52 ; white_score=0.4231
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 7 ; Sicilian Sveshnikov ; games=51 ; white_score=0.4118
r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R w KQkq - 2 9 ; Sicilian Sveshnikov ; games=51 ; white_score=0.4412
r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9 ; Sicilian Sveshnikov ; games=46 ; white_score=0.5435
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/N1N5/PPP2PPP/R1BQKB1R b KQkq - 1 7 ; Sicilian Sveshnikov ; games=43 ; white_score=0.5116
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/2N2P2/PPP3PP/R1BQKB1R b KQkq - 0 7 ; Sicilian Sveshnikov ; games=42 ; white_score=0.4524
r1bqkb1r/pp3ppp/2np1n2/1N2p3/P3P3/2N5/1PP2PPP/R1BQKB1R b KQkq - 0 7 ; Sicilian Sveshnikov ; games=38 ; white_score=0.4737
r1bqk1nr/pp1p1ppp/1bn1p3/8/4P3/PNN5/1PP2PPP/R1BQKB1R b KQkq - 4 7 ; Sicilian Taimanov ; games=58 ; white_score=0.5259
r1bqk1nr/pp1p1ppp/2n1p3/2b5/4P3/PN6/1PP2PPP/RNBQKB1R b KQkq - 2 6 ; Sicilian Taimanov ; games=49 ; white_score=0.5000
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/P7/1PP2PPP/RNBQKB1R b KQkq - 0 5 ; Sicilian Taimanov ; games=46 ; white_score=0.5326
r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/2N5/PP3PPP/R1BQKB1R b KQkq - 2 7 ; Sicilian Taimanov ; games=46 ; white_score=0.5978
r1bqkb1r/pp1p1ppp/2n1pn2/8/3NP3/2NQ4/PPP2PPP/R1B1KB1R b KQkq - 4 6 ; Sicilian Taimanov ; games=44 ; white_score=0.6591
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/6P1/PPP2P1P/RNBQKB1R b KQkq - 0 5 ; Sicilian Taimanov ; games=42 ; white_score=0.5119
r1bqkbnr/pp1p1ppp/2n1p3/1N6/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 2 5 ; Sicilian Taimanov ; games=42 ; white_score=0.4405
r1bqkbnr/pp3ppp/2npp3/1N6/2P1P3/8/PP3PPP/RNBQKB1R b KQkq - 0 6 ; Sicilian Taimanov ; games=41 ; white_score=0.5366
r2qkb1r/pp1n1ppp/2p1pn2/5b2/P1NP4/2N1P3/1P3PPP/R1BQKB1R b KQkq - 0 8 ; Slav Defence ; games=53 ; white_score=0.6132
rn1qkb1r/pp3ppp/2p1p3/3n1b2/P1BP1B2/2N1PN2/1P3PPP/R2QK2R b KQkq - 0 8 ; Slav Defence ; games=37 ; white_score=0.4459
r1bqk2r/ppp1bppp/2np1n2/4p3/P1B1P3/3P1N2/1PPN1PPP/R1BQK2R b KQkq - 0 6 ; Two Knights Defence ; games=54 ; white_score=0.5000
r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 b - - 0 7 ; Two Knights Defence ; games=54 ; white_score=0.4907
r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 2 5 ; Two Knights Defence ; games=54 ; white_score=0.4352
r1bqk2r/ppp1bppp/2n5/3np3/P1B5/3P1N2/1PP2PPP/RNBQ1RK1 b kq - 1 7 ; Two Knights Defence ; games=50 ; white_score=0.4400
